query,expected_drugs
Obat untuk informasi obat ini hanya untuk kalangan medis. terapi disfungsi ereksi pada pria dewasa,"bifido 50 mg 1 sachet,caliberi 20 mg odf,ciastar yellow 10 mg odf,ciastar yellow 20 mg odf,ericfil 50 mg odf,rozgra 50 mg tablet,sildenafil citrate 100 mg 4 tablet,sildenafil citrate 50 mg 4 tablet,topgra 100 mg 1 tablet,viagra 100 mg 1 tablet,viagra 50 mg 1 tablet,viastar blue 100 mg odf,viastar blue 50 mg odf"
Obat untuk informasi obat ini hanya untuk kalangan medis. ericfil diindikasikan untuk mengobati disfungsi ereksi,ericfil tablet 100 mg
Obat untuk informasi obat ini hanya untuk kalangan medis. pengobatan ketidakmampuan mencapai atau mempertahankan ereksi dengan baik untuk berhubungan seksual (disfungsi ereksi) pada pria dewasa,"cialis 5 mg 14 tablet,cialis tablet 10 mg,cialis tablet 20 mg"
Obat untuk mengobati penderita pembesaran prostat jinak (bph) dan hipertensi pulmonal atau tekanan tinggi pada pembuluh darah arteri paru-paru.,"cialis 5 mg 14 tablet,cialis tablet 10 mg,cialis tablet 20 mg"
Obat untuk informasi obat ini hanya untuk kalangan medis. terapi disfungsi ereksi pada pria dewasa.,gramax 100 mg tablet
Obat untuk informasi obat ini hanya untuk kalangan medis. pengobatan disfungsi ereksi pada pria dewasa,levitra tablet 20 mg
Obat untuk informasi obat ini hanya untuk kalangan medis.,promel 20 mg 4 tablet
Obat untuk informasi obat ini hanya untuk kalangan medis. untuk terapi disfungsi ereksi,rozgra 100 mg tablet
Obat untuk terapi disfungsi ereksi pada pria dewasa.,"viajoy kaplet 100 mg,viajoy kaplet 50 mg"
Obat untuk informasi obat ini hanya untuk kalangan medis. untuk gangguan yang berhubungan dengan defisiensi progesteron. penggunaan oral diindikasikan untuk menstruasi tidak teratur akibat disovulasi. penggunaan vaginal diindikasikan pada siklus fertilisasi in vitro (ivf). penggunaan secara vaginal merupakan alternatif untuk menghindari efek samping progesteron.,"microgest 100 mg 15 kapsul,microgest 200 mg 15 kapsul"
Obat untuk informasi obat ini hanya untuk kalangan medis. terancam aborsi,duphaston 10 mg 20 tablet
Obat untuk aborsi habitualis (keguguran yang berturut-turut pada 3 kehamilan atau lebih),duphaston 10 mg 20 tablet
Obat untuk amenore (tidak haid),duphaston 10 mg 20 tablet
Obat untuk perdarahan fungsional,duphaston 10 mg 20 tablet
Obat untuk dismenore (nyeri sewaktu haid),duphaston 10 mg 20 tablet
Obat untuk endometriosis (keadaan terdapatnya jaringan serupa selaput lendir rahim di luar rongga rahim),duphaston 10 mg 20 tablet
Obat untuk sindroma premenstruasi,duphaston 10 mg 20 tablet
Obat untuk infertilitas (kemandulan),duphaston 10 mg 20 tablet
Obat untuk terapi pengganti hormon,duphaston 10 mg 20 tablet
Obat untuk informasi obat ini hanya untuk kalangan medis. infertilitas pada pasien dengan amenore,profertil 50 mg 10 tablet
Obat untuk sindroma stein-leventhal,profertil 50 mg 10 tablet
Obat untuk perdarahan uterus fungsional dengan gangguan ovulasi,profertil 50 mg 10 tablet
Obat untuk terapi infertilitas pada wanita yang disebabkan oleh disfungsi ovulasi,blesifen 10 tablet
Obat untuk polisistik ovarium,blesifen 10 tablet
Obat untuk amenore- galaktorea,blesifen 10 tablet
Obat untuk amenore psikogenik & amenorre paska kontrasepsi oral,blesifen 10 tablet
Obat untuk oligospermia pada pria,blesifen 10 tablet
Obat untuk informasi obat ini hanya untuk kalangan medis. terapi untuk pendarahan uterus disfungsional atau untuk membantu siklus konsepsi pada fase luteal atau fertilisasi in-vitro,cygest suppositoria 400mg
Obat untuk abortus yang mengancam,"cygest suppositoria 200 mg,cygest suppositoria 400mg"
Obat untuk kehamilan dengan riwayat abortus habitualis.,cygest suppositoria 400mg
Obat untuk informasi obat ini hanya untuk kalangan medis. - terapi lini pertama kanker payudara stadium lokal lanjut/metastasis dengan status reseptor hormon positif atau tidak diketahui pada wanita pasca-menopause. - terapi adjuvan kanker payudara stadium dini dengan status reseptor hormon positif pada wanita pasca-menopause. - terapi adjuvan lanjutan pada wanita pasca-menopause dengan kanker payudara stadium dini yang telah mendapat terapi tamoxifen adjuvan selama 5 tahun. - terapi kanker payudara stadium lanjut pada wanita dengan status pasca-menopause,femaplex 2.5 mg 10 tablet
Obat untuk baik alami maupun yang diinduksi,femaplex 2.5 mg 10 tablet
Obat untuk dan pernah mendapat terapi anti-estrogen.,femaplex 2.5 mg 10 tablet
Obat untuk terapi untuk pendarahan uterus disfungsional atau untuk membantu siklus konsepsi pada fase luteal atau fertilisasi in-vitro,cygest suppositoria 200 mg
Obat untuk kehamilan dengan riwayat abortus habitualis. sindrom pra-menstrual,cygest suppositoria 200 mg
Obat untuk informasi obat ini hanya untuk kalangan medis. pengobatan infertilitas pada wanita yang disebabkan gangguan fungsi hipotalamus-pituitari,dipthen 50 mg 10 tablet
Obat untuk terapi infertilitas wanita karena oligomenore atau amenore sekunder. juga untuk meningkatkan spermatogenesis pada pria dengan oligospermia,genoclom 50 mg 10 tablet
Obat untuk memperbaiki level hormon estrogen dan siklus haid,himalaya shatavari 60 kapsul
